file name,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
$Title,BoatGame_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_1_Red_1_1_T1,Hey there explorer!,0,Red,,1_MO_EP,,,,,,
Boat_0_1_Red_1_1_T2,I’m so excited to see you!,1,Red,,4_MO_EC,,,,,,
Boat_0_1_Red_1_1_T3,Thank you for agreeing to come along with me on such a short notice!,2,Red,,3_MO_EP,,,,,,
Boat_0_1_Red_2_1_T1,You see~ my friend Darwin said that he needs help watching over the Jungle kingdom while the king is away.,3,Red,,9_MO_EI,,,,,,
Boat_0_1_Red_2_1_T2,Prince Julius has been put in charge all by himself~ and needs as much help as he can get!,4,Red,,1_MO_EP,,,,,,
Boat_0_1_Red_3_1_T1,I know how reliable you are~ friend~ that's why I'm so happy you agreed to come along with us!,5,Red,,3_MO_EP,,,,,,
Boat_0_1_Red_3_1_T2,Plus~ this jungle is full of exciting games so I know that we’ll have so much fun!,6,Red,,4_MO_EC,,,,,,
,,,,,,,,,,,
$Voiceover,,,,,,,,,,,
Boat_0_1_Red_4_1_1,Let's find our way to Jungle Island explorer!,,,,,,,,,,
Boat_0_1_Red_5_1_1,Start the engine by pressing the blue button.,,,,,,,,,,
Boat_0_1_Red_6_1_1,Now let's look for the island.,,,,,,,,,,
Boat_0_1_Red_7_1_1,To do that turn the steering wheel until you spot the island.,,,,,,,,,,
Boat_0_1_Red_8_1_1,I know you can do it explorer!,,,,,,,,,,
Boat_0_1_Red_9_1_1,Alright explorer!,,,,,,,,,,
Boat_0_1_Red_10_1_1,Let’s make sure this is Jungle Island!,,,,,,,,,,
Boat_0_1_Red_11_1_1,Move the picture of the island to the outline.,,,,,,,,,,
Boat_0_1_Red_12_1_1,Alright!,,,,,,,,,,
Boat_0_1_Red_13_1_1,Now~ move the throttle up to drive us to the Island!,,,,,,,,,,
Boat_0_1_Red_14_1_1,Alright explorer!,,,,,,,,,,
Boat_0_1_Red_15_1_1,Are you ready to play?,,,,,,,,,,
Boat_0_1_Red_16_1_1,If so say Aye Aye Captain!,,,,,,,,,,
Boat_0_1_Red_17_1_1,Hmm.. it seems that your microphone is broken explorer.,,,,,,,,,,
Boat_0_1_Red_18_1_1,But that's okay!,,,,,,,,,,
Boat_0_1_Red_19_1_1,Press the microphone button to continue.,,,,,,,,,,
Boat_0_1_Red_20_1_1,Good Job! Now honk the horn to let the boathouse know that we’re here explorer!,,,,,,,,,,
,,,,,,,,,,,
$Title,BoatGame_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_2_Red_1_T1,Whoa there explorer!,0,Red,,5_MO_EP,,,,,,
Boat_0_2_Red_1_T2,We still have work to do on the island!,1,Red,,2_MO_EP,,,,,,
Boat_0_2_Red_1_T3,Well.. ,2,Red,,9_MO_EI,,,,,,
Boat_0_2_Red_1_T4,It wouldn't hurt to go on a little boat ride.,3,Red,,2_MO_EP,,,,,,
Boat_0_2_Red_1_T5,Do you want to go on another boat ride explorer? ,4,Red,,9_MO_EP,,yes,goto5,goto6,,
Boat_0_2_Red_2_T1,All aboard!,5,Red,,4_MO_EC,,,,,yes,
Boat_0_2_Red_3_T1,Then we better get back to the task at hand~ explorer!,6,Red,,14_MO_EP,,,,,yes,
,,,,,,,,,,,
$Voiceover,,,,,,,,,,,
Boat_0_2_Red_4_1,Alright explorer! Do you remember how to start the engine?,,,,,,,,,,
Boat_0_2_Red_5_1, Start the engine by pressing the blue button.,,,,,,,,,,
Boat_0_2_Red_6_1,Alright explorer! Now that the engine has started~ it’s time to find the island!,,,,,,,,,,
Boat_0_2_Red_7_1,Now~ let's look for the island. To do that~ turn the steering wheel until you spot the island. I know you can do it explorer!,,,,,,,,,,
Boat_0_2_Red_8_1,Do you remember what to do next explorer?,,,,,,,,,,
Boat_0_2_Red_9_1,Alright explorer!  Let’s make sure this is Jungle Island! Move the picture of the island to the outline. ,,,,,,,,,,
Boat_0_2_Red_10_1,Excellent job explorer! Now~ it’s time to make our way to the island! ,,,,,,,,,,
Boat_0_2_Red_11_1,Now~ move the throttle up to drive us to the Island!,,,,,,,,,,
Boat_0_2_Red_12_1,Alright explorer! We’re approaching the lighthouse again! Do you remember what we’re supposed to do next? ,,,,,,,,,,
Boat_0_2_Red_13_1,Remember to honk the horn to let the boathouse know that we’re here explorer!,,,,,,,,,,
,,,,,,,,,,,
$Title,BoatGame_2_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_2_Red_14_T1,And we’re back~ explorer!,0,Red,,4_MO_EC,,,,,,
Boat_0_2_Red_14_T2,Thank you for the boat ride!,1,Red,,3_MO_EP,,,,,,
Boat_0_2_Red_14_T3,It’s nice to take a break once and a while.,2,Red,,2_MO_EP,,,,,,
Boat_0_2_Red_14_T4,When you're ready~ come on out so we can get back to work.,3,Red,,1_MO_EP,,,,,,
,,,,,,,,,,,
$Title,BoatGame_3_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_3_Red_1_T1,Do you want to go on another boat ride explorer? ,0,Red,,9_MO_EO,,yes,goto7,goto1,,
Boat_0_3_Red_2_T1,Okay.,1,Red,,1_MO_EP,,,,,,
Boat_0_3_Red_2_T2,Then would you like to play on the ship?,2,Red,,9_MO_EO,,yes,goto3,goto6,,
Boat_0_3_Red_3_T1,Okay!,3,Red,,4_MO_EC,,,,,,
Boat_0_3_Red_3_T2,Have fun explorer!,4,Red,,3_MO_EP,,,,,,
Boat_0_3_Red_3_T3,Just come on out when you’re ready!,5,Red,,2_MO_EP,,,,,yes,
Boat_0_3_Red_4_T1,Then we better get back to the task at hand~ explorer!,6,Red,,3_MO_EP,,,,,yes,
Boat_0_3_Red_5_T1,Alright!,7,Red,,2_MO_EP,,,,,,
Boat_0_3_Red_5_T2,Let's have some fun~ explorer!,8,Red,,3_MO_EP,,,,,,
Boat_0_3_Red_5_T3,All aboard!!,9,Red,,4_MO_EC,,,,,yes,
,,,,,,,,,,,
$Title,Dock_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_0_1_Red_1_1_T1,Hurray!,0,Red,,4_MO_EC,,,,,,
P_0_1_Red_1_1_T2,Welcome to the Jungle kingdom explorer!,1,Red,,2_MO_EP,,,,,,
P_0_1_Red_1_1_T3,I’m so excited to learn and help out my friend! ,2,Red,,3_MO_EC,,,,,,
P_0_1_Red_1_1_T4,I can't wait for you to meet him!,3,Red,,1_MO_EP,,,,,,
P_0_1_Red_2_1_T1,Oh! There he is up ahead!,4,Red,,5_MO_EI,,,,,,
,,,,,,,,,,,
$Title,Dock_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_0_1_Wally_3_T1,Let's get going.,0,Red,Wally,9_MC_EI,1_MO_EP,,,,,
,,,,,,,,,,,
$Title,GorillaIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_1_Red_0_T1,Hello Darwin! It’s been a while!,0,Red,Darwin,1_MO_EI,10_MC_EO,,,,,
P_1_1_Darwin_1_T1,OH!,1,Red,Darwin,1_MC_EI,13_MO_EI,,,,,
P_1_1_Darwin_2_T1,Hi there Red! It’s good to see you!,2,Red,Darwin,1_MC_EI,1_MO_EI,,,,,
P_1_1_Darwin_2_T2,I …. Uhh,3,Red,Darwin,1_MC_EI,7_MO_EP,,,,,
P_1_1_Darwin_2_T3,see you have others with you.,4,Red,Darwin,1_MC_EI,2_MO_EI,,,,,
P_1_1_Red_3_T1,Yes! This is Wally.,5,Red,Darwin,12_MO_EI,1_MC_EI,,,,,
P_1_1_Wally_4_T1,Hey.,6,Wally,Darwin,3_MO_EI,2_MC_EC,,,,,
P_1_1_Red_5_T1,And this here is the explorer! They’re super smart and can't wait to help and learn!,7,Red,Darwin,12_MO_EP,7_MC_EP,,,,,
P_1_1_Darwin_6_T1,Hi to the both of you! As Red said earlier my name is,8,Red,Darwin,1_MC_EI,1_MO_EP,,,,,
P_1_1_Darwin_6_T2,… uh Darwin…,9,Red,Darwin,1_MC_EI,7_MO_EO,,,,,
P_1_1_Darwin_6_T3,You see… I used to be the king's most trusted….,10,Red,Darwin,1_MC_EI,8_MO_EP,,,,,
P_1_1_Darwin_6_T4,Uhhh…,11,Red,Darwin,1_MC_EI,9_MO_EO,,,,,
P_1_1_Darwin_6_T5,Advisor!!,12,Red,Darwin,1_MC_EI,8_MO_EP,,,,,
P_1_1_Darwin_6_T6,Yes advisor!,13,Red,Darwin,1_MC_EI,4_MO_EP,,,,,
P_1_1_Darwin_6_T7,However… Adventure was calling my name and I just had to see what’s out there!,14,Red,Darwin,1_MC_EI,1_MO_EI,,,,,
P_1_1_Wally_7_T1,Red was saying earlier that the king is away? Why is that?,15,Darwin,Wally,1_MC_EI,9_MO_EI,,,,,
P_1_1_Darwin_8_T1,Oh right!,16,Darwin,Wally,8_MO_EI,9_MC_EI,,,,,
P_1_1_Darwin_8_T2,Yes yes the king is away to…,17,Darwin,Wally,7_MO_EO,9_MC_EI,,,,,
P_1_1_Darwin_8_T3,Uhh…,18,Darwin,Wally,9_MO_EO,9_MC_EI,,,,,
P_1_1_Darwin_8_T4,OH! YES!,19,Darwin,Wally,4_MO_EP,9_MC_EI,,,,,
P_1_1_RedWally_9_T1,!!!,20,Red,Wally,5_MO_EI,6_MO_EI,,,,,
P_1_1_Darwin_11_T1,The king went out to help another kingdom in need!,22,Darwin,Red,2_MO_EI,8_MC_EI,,,,,
P_1_1_Darwin_11_T2,How silly of me to forget.,23,Darwin,Red,11_MO_EO,8_MC_EI,,,,,
P_1_1_Darwin_11_T3,A kind king indeed...,24,Darwin,Red,7_MO_EO,8_MC_EI,,,,,
P_1_1_Darwin_11_T4,I even remember when he had Julius!,25,Darwin,Red,2_MO_EC,11_MC_EI,,,,,
P_1_1_Darwin_11_T5,I can’t wait to see him again!,26,Darwin,Red,4_MO_EI,11_MC_EI,,,,,
,,,,,,,,,,,
$Title,GorillaIntro_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_1_Julius_12_T1,I don’t know if I can do this guys...,0,Julius,,3_MO_EO,,,,,,
P_1_1_Julius_12_T2,I’m a bit nervous to run this kingdom on my own…,1,Julius,,5_MO_EI,,,,,,
P_1_1_Brutus_13_T1,But there's some perks to that though…,2,Julius,Brutus,5_MC_EI,3_MO,,,,,
P_1_1_Brutus_13_T2,yawn...,3,Julius,Brutus,5_MC_EI,6_MO,,,,,
P_1_1_Julius_14_T1,There is... Brutus?,4,Julius,Brutus,6_MO_EI,7_MC,,,,,
P_1_1_Marcus_15_T1,THAT'S RIGHT!,5,Julius,Marcus,1_MC_EI,2_MO,,,,,
P_1_1_Marcus_15_T2,Since you are the future king you can do anything you want! Haha!,6,Julius,Marcus,1_MC_EI,3_MO,,,,,
P_1_1_Julius_16_T1,I can... Marcus? ,7,Julius,Marcus,6_MO_EI,3_MC,,,,,
P_1_1_Brutus_17_T1,yeah…,8,Julius,Brutus,8_MC_EO,4_MO,,,,,
P_1_1_Brutus_17_T2,the whole kingdom is yours to do as you please…,9,Julius,Brutus,8_MC_EO,3_MO,,,,,
P_1_1_Marcus_18_T1,EXACTLY!!!,10,Julius,Marcus,8_MC_EI,2_MO,,,,,
P_1_1_Marcus_18_T2,You can do anything your little heart desires my prince!,11,Julius,Marcus,8_MC_EI,7_MO,,,,,
P_1_1_Marcus_18_T3,It is your birthright!,12,Julius,Marcus,8_MC_EI,3_MO,,,,,
P_1_1_Julius_19_T1,Anything I want…,13,Julius,Marcus,8_MO_EI,8_MC,,,,,
P_1_1_Brutus_20_T1,Yes~ anything you want...take your frustration and nerves out on this village… ,14,Julius,Brutus,2_MC_EI,4_MO,,,,,
P_1_1_Brutus_20_T2,after all...,15,Julius,Brutus,2_MC_EI,3_MO,,,,,
P_1_1_Brutus_20_T3,It is your kingdom….,16,Julius,Brutus,2_MC_EI,2_MO,,,,,
P_1_1_Brutus_20_T4,This is what you're supposed to do...,17,Julius,Brutus,2_MC_EI,5_MO,,,,,
P_1_1_Brutus_20_T5,yawn...,18,Julius,Brutus,2_MC_EI,6_MO,,,,,
P_1_1_Marcus_21_T1,YES YES!,19,Julius,Marcus,2_MC_EI,2_MO,,,,,
P_1_1_Marcus_21_T2,What he said!,20,Julius,Marcus,2_MC_EI,8_MO,,,,,
P_1_1_Marcus_21_T3,This is your playground my prince!,21,Julius,Marcus,2_MC_EI,2_MO,,,,,
P_1_1_Julius_22_T1,You’re right!,22,Julius,,2_MO_EI,,,,,,
P_1_1_Julius_22_T2,I am the future king!,23,Julius,,4_MO_EC,,,,,,
P_1_1_Julius_22_T3,I can do as I want!,24,Julius,,8_MO_EI,,,,,,
,,,,,,,,,,,
$Title,GorillaIntro_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_1_Darwin_23_T1,HUH!?,0,Darwin,,5_MO_EI,,,,,,
P_1_1_RedWally_24_T1,What was that!?,1,Red,Wally,5_MO_EI,6_MO_EI,,,,,
P_1_1_Marcus_26_T1,HAHAHA!,3,Marcus,Brutus,6_MO,8_MC,,,,,
P_1_1_Brutus_27_T1,Heh heh heh...,4,Marcus,Brutus,6_MC,8_MO,,,,,
P_1_1_Julius_28_T1,That felt... ,5,,Julius,,3_MO_EO,,,,,
P_1_1_Julius_28_T2,,6,,Julius,,8_MC_EI,,,,,
P_1_1_Julius_28_T3,Kinda good!,7,,Julius,,2_MO_EP,,,,,
P_1_1_Darwin_29_T1,Julius!,8,Darwin,Julius,6_MO_EI,10_MC_EI,,,,,
P_1_1_Julius_30_T1,Darwin!,9,Darwin,Julius,6_MC_EI,5_MO_EI,,,,,
P_1_1_Julius_30_T2,You’re here already?,10,Darwin,Julius,6_MC_EI,3_MO_EI,,,,,
P_1_1_Darwin_31_T1,Of course your highness…,11,Darwin,Julius,6_MO_EI,3_MC_EI,,,,,
P_1_1_Darwin_31_T2,Why did you do this?,12,Darwin,Julius,12_MO_EI,3_MC_EI,,,,,
P_1_1_Julius_32_T1,I.....,13,Darwin,Julius,12_MC_EI,5_MO_EI,,,,,
P_1_1_Julius_32_T2,,14,Darwin,Julius,12_MC_EI,3_MO_EI,,,,,
P_1_1_Julius_32_T3,Because this is my kingdom!,15,Darwin,Julius,12_MC_EI,7_MO_EI,,,,,
P_1_1_Julius_32_T4,And I can do what I want!,16,Darwin,Julius,12_MC_EI,4_MO_EC,,,,,
P_1_1_Darwin_33_T1,Your majesty!,17,Darwin,Julius,5_MO_EI,4_MC_EI,,,,,
P_1_1_Darwin_33_T2,,18,Darwin,Julius,6_MO_EI,4_MC_EI,,,,,
P_1_1_Darwin_33_T3,That's… uh… not-,19,Darwin,Julius,12_MO_EI,4_MC_EI,,,,,
P_1_1_Marcus_34_T1,SILENCE PEASANT! ,20,Darwin,Marcus,5_MC_EI,4_MO,,,,,
P_1_1_Brutus_35_T1,Yeah...,21,Darwin,Brutus,12_MC_EI,3_MO,,,,,
P_1_1_Brutus_35_T2,what he said,22,Darwin,Brutus,12_MC_EI,5_MO,,,,,
P_1_1_Darwin_36_T1,But!-,23,Darwin,Brutus,5_MO_EI,5_MC,,,,,
P_1_1_Julius_37_T1,They're right~ Darwin.,24,Julius,Brutus,2_MO_EI,5_MC,,,,,
P_1_1_Julius_37_T2,I am the future king.,25,Julius,Brutus,4_MO_EC,3_MC,,,,,
P_1_1_Julius_37_T3,Which means I can do what I want!,26,Julius,Brutus,4_MO_EI,3_MC,,,,,
P_1_1_Brutus_38_T1,Heh heh heh.,27,Marcus,Brutus,6_MC,8_MO,,,,,
P_1_1_Marcus_26_T1,HAHAHA!,28,Marcus,Brutus,6_MO,8_MC,,,,,
,,,,,,,,,,,
$Title,GorillaIntro_1_p4,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_1_Wally_40_T1,If this is the prince we’re supposed to help,0,Wally,,8_MO_EP,,,,,,
P_1_1_Wally_40_T2,Then we're in big trouble.,1,Wally,,7_MO_EI,,,,,,
P_1_1_Darwin_41_T1,I wonder what's gotten into him... ,2,Wally,Darwin,7_MC_EI,9_MO_EO,,,,,
P_1_1_Darwin_41_T2,He’s always been a….little... troublemaker...,3,Wally,Darwin,7_MC_EI,12_MO_EI,,,,,
P_1_1_Darwin_41_T3,But he’s never acted out like…,4,Wally,Darwin,7_MC_EI,7_MO_EI,,,,,
P_1_1_Darwin_41_T4,umm…this…,5,Wally,Darwin,7_MC_EI,9_MO_EO,,,,,
P_1_1_Wally_42_T1,So this type of behavior is new for him?,6,Wally,Darwin,9_MO_EI,9_MC_EI,,,,,
P_1_1_Darwin_43_T1,That’s… uhh right. ,7,Wally,Darwin,8_MC_EI,9_MO_EO,,,,,
P_1_1_Red_44_T1,Then we must catch up to him and figure out what’s wrong!,8,Red,Darwin,7_MO_EI,9_MC_EO,,,,,
P_1_1_Wally_45_T1,I agree.,9,Red,Wally,6_MC_EI,1_MO_EI,,,,,
P_1_1_Red_46_T1,Darwin~ you know the prince the most.,10,Red,Wally,9_MO_EI,1_MC_EI,,,,,
